"Latitude","Longitude","UTC","Pollutant","AQI","Category","Location","ReportingAgency","StationID","FullStationID"
"35.63346","-83.94158","2021-10-20T20:00","PM2.5","45","1","Look Rock - GSMNP","National Park Service","470090101","840470090101"
"35.9803","-83.9306","2021-10-20T20:00","PM2.5","45","1","AIR LAB","Knox County Dept. of Air Quality Management ","470931013","840470931013"
"36.0183","-83.8761","2021-10-20T20:00","PM2.5","48","1","SPRINGHILL","Knox County Dept. of Air Quality Management ","470931020","840470931020"
"34.3003","-83.8139","2021-10-20T20:00","PM2.5","52","2","Gainesville","Georgia Department of Natural Resources","131390003","840131390003"
"34.3003","-83.8139","2021-10-20T20:00","PM10","19","1","Gainesville","Georgia Department of Natural Resources","131390003","840131390003"
"39.92882","-83.80949","2021-10-20T20:00","PM2.5","35","1","Springfield Fire St1","Ohio EPA-DAPC","390230005","840390230005"
"36.6081","-83.7369","2021-10-20T20:00","PM2.5","39","1","MIDAIR","Kentucky DEP","210130002","840210130002"
"43.0289","-83.669403","2021-10-20T20:00","PM2.5","40","1","FLINT","Michigan Department of Environment, Great Lakes, and Energy","260490021","840260490021"
"42.24","-83.5997","2021-10-20T20:00","PM2.5","31","1","YPSILANTI","Michigan Department of Environment, Great Lakes, and Energy","261610008","840261610008"
"32.6056","-83.5979","2021-10-20T20:00","PM2.5","39","1","Warner Robins","Georgia Department of Natural Resources","131530001","840131530001"
"32.6056","-83.5979","2021-10-20T20:00","PM10","18","1","Warner Robins","Georgia Department of Natural Resources","131530001","840131530001"
"41.644067","-83.54625","2021-10-20T20:00","PM2.5","38","1","Erie","Ohio EPA-DAPC","390950024","840390950024"
"32.8031","-83.5447","2021-10-20T20:00","PM2.5","43","1","Macon Forestry","Georgia Department of Natural Resources","130210012","840130210012"
"32.8031","-83.5447","2021-10-20T20:00","PM10","19","1","Macon Forestry","Georgia Department of Natural Resources","130210012","840130210012"
"35.434767","-83.442133","2021-10-20T20:00","PM2.5","2","1","BRYSON","North Carolina DEQ - Division of Air Quality","371730002","840371730002"
"33.925","-83.3575","2021-10-20T20:00","PM2.5","55","2","Athens","Georgia Department of Natural Resources","130590002","840130590002"
"33.925","-83.3575","2021-10-20T20:00","PM10","21","1","Athens","Georgia Department of Natural Resources","130590002","840130590002"
"30.8486","-83.2933","2021-10-20T20:00","PM2.5","23","1","Valdosta","Georgia Department of Natural Resources","131850003","840131850003"
"30.8486","-83.2933","2021-10-20T20:00","PM10","15","1","Valdosta","Georgia Department of Natural Resources","131850003","840131850003"
"37.2831","-83.2203","2021-10-20T20:00","PM2.5","33","1","HAZ2","Kentucky DEP","211930003","840211930003"
"42.2283","-83.2092","2021-10-20T20:00","PM2.5","36","1","ALLEN PARK","Michigan Department of Environment, Great Lakes, and Energy","261630001","840261630001"
"42.2283","-83.2092","2021-10-20T20:00","PM10","28","1","ALLEN PARK","Michigan Department of Environment, Great Lakes, and Energy","261630001","840261630001"
"42.261669","-83.157893","2021-10-20T20:00","PM2.5","35","1","NMH48217","Michigan Department of Environment, Great Lakes, and Energy","261630097","840261630097"
"42.3075","-83.15","2021-10-20T20:00","PM2.5","84","2","DEARBORN","Michigan Department of Environment, Great Lakes, and Energy","261630033","840261630033"
"42.3075","-83.15","2021-10-20T20:00","PM10","38","1","DEARBORN","Michigan Department of Environment, Great Lakes, and Energy","261630033","840261630033"
"42.295824","-83.129431","2021-10-20T20:00","PM2.5","50","1","TRINITY","Michigan Department of Environment, Great Lakes, and Energy","261630099","840261630099"
"42.3042","-83.1072","2021-10-20T20:00","PM2.5","61","2","DETROIT-SW","Michigan Department of Environment, Great Lakes, and Energy","261630015","840261630015"
"42.312078","-83.103469","2021-10-20T20:00","PM2.5","50","1","MILITARY PARK","Michigan Department of Environment, Great Lakes, and Energy","261630100","840261630100"
"42.312158","-83.091943","2021-10-20T20:00","PM2.5","44","1","DP4TH","Michigan Department of Environment, Great Lakes, and Energy","261630098","840261630098"
"40.11109","-83.065376","2021-10-20T20:00","PM2.5","33","1","Smoky Row Near Road","Ohio EPA-DAPC","390490038","840390490038"
"42.3144","-83.0433","2021-10-20T20:00","PM2.5","30","1","Windsor Downtown","Ontario Ministry of the Environment","000060204","124000060204"
"40.0845","-82.81552","2021-10-20T20:00","PM2.5","18","1","New Albany","Ohio EPA-DAPC","390490029","840390490029"
"30.4264","-82.7947","2021-10-20T20:00","PM2.5","21","1","White Springs","Florida Dept. of Environmental Protection","120470015","840120470015"
"42.7314","-82.7936","2021-10-20T20:00","PM2.5","36","1","NEW HAVEN","Michigan Department of Environment, Great Lakes, and Energy","260990009","840260990009"
"27.7858","-82.74","2021-10-20T20:00","PM2.5","23","1","Azalea","Florida Dept. of Environmental Protection","121030018","840121030018"
"27.9711","-82.7361","2021-10-20T20:00","PM2.5","22","1","St. Petersburg College","Florida Dept. of Environmental Protection","121030004","840121030004"
"28.0903","-82.7008","2021-10-20T20:00","PM2.5","24","1","John A. Chesnut Sr. Park","Florida Dept. of Environmental Protection","121035002","840121035002"
"38.508114","-82.659301","2021-10-20T20:00","PM2.5","33","1","ODOT Ironton","Ohio EPA-DAPC","390870012","840390870012"
"28.958372","-82.643094","2021-10-20T20:00","PM2.5","64","2","Crystal River Preserve","Florida Dept. of Environmental Protection","120170006","840120170006"
"30.1783","-82.6192","2021-10-20T20:00","PM2.5","18","1","Lake City","Florida Dept. of Environmental Protection","120230002","840120230002"
"35.6062","-82.5844","2021-10-20T20:00","PM2.5","37","1","BDED","North Carolina DEQ - Division of Air Quality","370210034","840370210034"
"27.8928","-82.5383","2021-10-20T20:00","PM2.5","21","1","GANDY","Hillsborough County - Tampa ","120571065","840120571065"
"36.5408","-82.5217","2021-10-20T20:00","PM2.5","54","2","Kingsport","Tennessee Air Pollution Control Div.","471631007","840471631007"
"27.2906","-82.5072","2021-10-20T20:00","PM2.5","27","1","Bee Ridge","Florida Dept. of Environmental Protection","121150013","840121150013"
"27.3503","-82.4797","2021-10-20T20:00","PM10","17","1","Paw Park","Florida Dept. of Environmental Protection","121151006","840121151006"
"42.9533","-82.4564","2021-10-20T20:00","PM2.5","36","1","PORT HURON","Michigan Department of Environment, Great Lakes, and Energy","261470005","840261470005"
"27.9283","-82.4547","2021-10-20T20:00","PM10","23","1","DAVIS ISLAND","Hillsborough County - Tampa ","120571035","840120571035"
"34.843899","-82.414597","2021-10-20T20:00","PM2.5","32","1","Greenville-ESC","South Carolina DHEC","450450015","840450450015"
"34.843899","-82.414597","2021-10-20T20:00","PM10","12","1","Greenville-ESC","South Carolina DHEC","450450015","840450450015"
"42.990263","-82.395341","2021-10-20T20:00","PM2.5","37","1","Sarnia","Ontario Ministry of the Environment","000061009","124000061009"
"27.0892","-82.3625","2021-10-20T20:00","PM2.5","22","1","Jackson Road","Florida Dept. of Environmental Protection","121152002","840121152002"
"29.56615","-82.266066","2021-10-20T20:00","PM2.5","18","1","Paynes Prairie Farm","Florida Dept. of Environmental Protection","840120013012","840120013012"
"27.9659","-82.230617","2021-10-20T20:00","PM2.5","5","1","SYDNEY","Hillsborough County - Tampa ","120573002","840120573002"
"42.4033","-82.2086","2021-10-20T20:00","PM2.5","31","1","Chatham","Ontario Ministry of the Environment","000065801","124000065801"
